Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes,aStart,aEnd,timeToStart,timeToEnd
feed,2021-08-24T05:14Z,2021-08-24T05:39Z,00:25,00:12R,breast,00:12L,,2021-08-23T20:14Z,2021-08-23T20:39Z,29.233333333333334,29.65
feed,2021-08-24T05:14Z,2021-08-24T05:45Z,00:31,00:15R,breast,00:15L,,2021-08-23T20:14Z,2021-08-23T20:45Z,29.233333333333334,29.75
sleep,2021-08-24T05:39Z,2021-08-24T05:14Z,,,,,,2021-08-23T20:39Z,2021-08-23T20:14Z,29.65,29.233333333333334
sleep,2021-08-24T05:45Z,2021-08-24T05:55Z,,,,,,2021-08-23T20:45Z,2021-08-23T20:55Z,29.75,29.916666666666668
feed,2021-08-24T05:55Z,2021-08-24T06:15Z,00:19,,breast,00:19L,,2021-08-23T20:55Z,2021-08-23T21:15Z,29.916666666666668,30.25
feed,2021-08-24T06:00Z,2021-08-24T06:30Z,00:30,,breast,00:30L,,2021-08-23T21:00Z,2021-08-23T21:30Z,30,30.5
sleep,2021-08-24T06:15Z,2021-08-24T06:00Z,,,,,,2021-08-23T21:15Z,2021-08-23T21:00Z,30.25,30
sleep,2021-08-24T06:30Z,2021-08-24T10:15Z,,,,,,2021-08-23T21:30Z,2021-08-24T01:15Z,30.5,34.25
feed,2021-08-24T21:05Z,2021-08-24T21:33Z,00:28,00:28R,breast,,,2021-08-24T12:05Z,2021-08-24T12:33Z,21.083333333333332,21.55
sleep,2021-08-24T21:33Z,2021-08-24T23:00Z,,,,,,2021-08-24T12:33Z,2021-08-24T14:00Z,21.55,23
feed,2021-08-24T23:00Z,2021-08-24T23:13Z,00:13,00:03R,breast,00:09L,,2021-08-24T14:00Z,2021-08-24T14:13Z,23,23.216666666666665
sleep,2021-08-24T23:13Z,2021-08-24T23:30Z,,,,,,2021-08-24T14:13Z,2021-08-24T14:30Z,23.216666666666665,23.5
feed,2021-08-24T23:30Z,2021-08-24T23:45Z,00:15,00:15R,breast,,,2021-08-24T14:30Z,2021-08-24T14:45Z,23.5,23.75
sleep,2021-08-24T23:45Z,2021-08-25T00:16Z,,,,,,2021-08-24T14:45Z,2021-08-24T15:16Z,23.75,24.266666666666666
feed,2021-08-25T00:16Z,2021-08-25T00:31Z,00:15,,breast,00:15L,,2021-08-24T15:16Z,2021-08-24T15:31Z,24.266666666666666,24.516666666666666
